tag,sada,grp,instance_cnt,temp,inner_iters,min_temp,cooling,max_cycles,meas_cycles,success_rate,restarts_needed,cycles_needed,worst_success,worst_restarts,worst_cycles,q0.05_success,q0.05_restarts,q0.05_cycles,dest_temp_q0.05,duration
wruf36-157\Q,wruf36-157,Q,50,2,1000,0.01,0.7,14855,12692,0.3308,8,101536,0.02,149,1891108,0.04,74,939208,0.0807072,02:05:10.8614705
wruf36-157\R,wruf36-157,R,50,2,1000,0.00333,0.9,60724,53469,0.5372,4,213876,0.1,29,1550601,0.16,18,962442,0.159533,02:03:36.1035950
wruf36-157\R,wruf36-157,R,50,2,1000,0.01,0.95,103295,89094,0.6936,3,267282,0.22,13,1158222,0.24,11,980034,0.220366,07:41:51.1195061
wruf36-157\Q,wruf36-157,Q,20,20,500,0.01,0.95,74093,56517,0.5195,5,282585,0.16,18,1017306,0.16,18,1017306,,
wruf36-157\R,wruf36-157,R,20,20,500,0.01,0.95,74093,56219,0.52538,5,281095,0.07,42,2361198,0.07,42,2361198,,
wruf36-157\Q,wruf36-157,Q,50,2,2000,0.01,0.95,206589,179040,0.8608,2,358080,0.28,10,1790400,0.4,6,1074240,0.257024,12:21:10.0913474
wruf36-157\Q,wruf36-157,Q,50,2,1000,0.001,0.9,72142,65523,0.5464,4,262092,0.14,20,1310460,0.16,18,1179414,0.159533,03:05:34.5082603
wruf36-157\Q,wruf36-157,Q,50,2,1000,0.00333,0.9,60724,53638,0.534,4,214552,0.06,49,2628262,0.12,24,1287312,0.159533,06:44:24.9911020
wruf36-157\R,wruf36-157,R,50,2,1000,0.001,0.9,72142,65333,0.5448,4,261332,0.12,24,1567992,0.14,20,1306660,0.159533,02:27:58.9256639
wruf36-157\Q,wruf36-157,Q,20,200,500,0.01,0.95,96538,67873,0.5235,5,339365,0.14,20,1357460,0.14,20,1357460,,
wruf36-157\Q,wruf36-157,Q,50,2,4000,0.01,0.95,413178,358026,0.9556,1,358026,0.58,4,1432104,0.68,3,1074078,0.315558,1.01:54:51.0229199
wruf36-157\R,wruf36-157,R,50,2,4000,0.01,0.95,413178,356815,0.942,2,713630,0.58,4,1427260,0.62,4,1427260,0.315558,1.01:47:30.4174492
wruf36-157\R,wruf36-157,R,50,2,1000,0.01,0.99,527178,453373,0.9568,1,453373,0.74,3,1360119,0.74,3,1360119,0.334268,1.07:00:02.0743890
wruf36-157\Q,wruf36-157,Q,20,0.2,500,0.01,0.95,29202,27672,0.2245,12,332064,0.04,74,2047728,0.04,74,2047728,,
